,Subject,Male (1),female1 (1),Proportion1 (1),Male (2),female (2),Proportion (2),Male (3),female (3),Proportion (3)
0,CHEM,1967,371,15.868263473053892,816,161,16.47901740020471,274,55,16.717325227963524
1,AGRI,3393,752,18.142340168878164,1521,330,17.828200972447323,512,93,15.37190082644628
2,MEDI,6165,1400,18.506278916060808,2214,506,18.602941176470587,832,155,15.704154002026344
3,VETE,80,17,17.525773195876287,52,7,11.864406779661017,17,7,29.166666666666668
4,ENGI,1205,235,16.319444444444446,393,81,17.088607594936708,70,12,14.634146341463413
5,ENVI,272,68,20.0,117,24,17.02127659574468,35,5,12.5
6,COMP,1922,483,20.083160083160084,644,119,15.59633027522936,119,32,21.192052980132452
7,IMMU,130,41,23.976608187134502,86,16,15.686274509803921,28,6,17.647058823529413
8,BIOC,873,198,18.487394957983195,425,103,19.507575757575758,174,46,20.909090909090907
9,EART,201,61,23.282442748091604,90,11,10.891089108910892,24,7,22.58064516129032
10,CENG,283,57,16.76470588235294,107,27,20.149253731343283,34,4,10.526315789473683
11,ENER,166,37,18.226600985221676,68,20,22.727272727272727,16,3,15.789473684210526
12,MATH,431,89,17.115384615384617,130,20,13.333333333333334,20,3,13.043478260869565
13,SOCI,719,141,16.395348837209305,196,40,16.94915254237288,45,12,21.052631578947366
14,MULT,427,90,17.408123791102515,131,28,17.61006289308176,20,10,33.33333333333333
15,PHYS,662,159,19.366626065773445,270,70,20.588235294117645,71,11,13.414634146341465
16,DENT,22,5,18.51851851851852,14,5,26.31578947368421,5,1,16.666666666666664
17,MATE,164,39,19.21182266009852,55,18,24.65753424657534,19,4,17.391304347826086
18,BUSI,138,28,16.867469879518072,47,13,21.666666666666668,6,1,14.285714285714285
19,ARTS,114,29,20.27972027972028,21,8,27.586206896551722,5,1,16.666666666666664
20,PHAR,330,66,16.666666666666664,131,36,21.55688622754491,49,5,9.25925925925926
21,ECON,89,17,16.037735849056602,22,4,15.384615384615385,5,0,0.0
22,DECI,25,10,28.57142857142857,7,5,41.66666666666667,3,0,0.0
23,NURS,74,25,25.252525252525253,19,5,20.833333333333336,5,0,0.0
24,HEAL,45,5,10.0,24,1,4.0,10,2,16.666666666666664
25,NEUR,30,4,11.76470588235294,15,3,16.666666666666664,7,1,12.5
26,PSYC,17,4,19.047619047619047,6,1,14.285714285714285,3,1,25.0
