#,University,Region,Sector,Score
99,"Quaid-e-Awam University of Engineering, Sciences & Technology, Nawabshah",Sindh,Public,64.29%
100,"Quaid-i-Azam University, Islamabad",Federal,Public,39.29%
101,"Rawalpindi Women University",KPK,Private,67.41%
102,"Riphah International University, Islamabad",Federal,Private,51.79%
103,"Sarhad University of Science & Information Technology, Peshawar",KPK,Private,56.25%
104,"Shaheed Benazir Bhutto Dewan University, Karachi",Sindh,Private,45.54%
105,"Shaheed Benazir Bhutto University, Shaheed Benazirabad",Sindh,Public,36.61%
106,"Shaheed Benazir Bhutto Women University, Peshawar",KPK,Public,50%
107,"Shaheed Mohtarma Benazir Bhutto Medical University, Larkana",Sindh,Public,29.68%
108,"Shaheed Zulfikar Ali Bhutto Institute of Science & Technology, Karachi",Sindh,Private,76.78%
109,"Shifa Tameer-e-Millat University, Islamabad",Federal,Private,64.2%
110,"Sindh Agriculture University, Tandojam",Sindh,Public,70.37%
111,"Sindh Madresatul Islam University, Karachi",Sindh,Public,51.79%
112,"Sir Syed (CASE) Institute of Technology, Islamabad",Federal,Private,73.66%
113,"Sir Syed University of Engineering & Technology, Karachi",Sindh,Private,75%
114,"Sukkur IBA University, Sukkur",Sindh,Public,39.29%
115,"Textile Institute of Pakistan, Karachi",Sindh,Private,17.95%
116,"The Superior College, Lahore",Punjab,Private,43.75%
117,"The University of Agriculture Peshawar, Peshawar",KPK,Public,33.04%
118,"The University of Faisalabad, Faisalabad",Punjab,Private,70.54%
119,"The University of Lakki Marwat",KPK,Public,58.04%
120,"The Women University, Multan",Punjab,Public,69.82%
121,"University of Agriculture, Faisalabad",Punjab,Public,37.5%
122,"University of Balochistan, Quetta",Balochistan,Public,59.07%
123,"University of Baltistan, Skardu",GB,Public,46.88%
124,"University of Buner",KPK,Public,29.46%
125,"University of Central Punjab, Lahore",Punjab,Private,76.79%
126,"University of Chitral",GB,Public,50.89%
127,"University of Education, Lahore",Punjab,Public,36.61%
128,"University of Engineering & Technology, Lahore",Punjab,Public,44.4%
129,"University of Engineering & Technology, Mardan",KPK,Public,67.41%
130,"University of Engineering & Technology, Peshawar",KPK,Public,31.1%
131,"University of Engineering & Technology, Taxila",Punjab,Public,73.66%
132,"University of FATA, Kohat",KPK,Public,45.09%
133,"University of Gujrat, Gujrat",Punjab,Public,42.25%
134,"University of Haripur, Haripur",KPK,Public,62.5%
135,"University of Health Sciences, Lahore",Punjab,Public,40.27%
136,"University of Kotli Azad Jammu & Kashmir, Kotli",AJ&K,Public,54.91%
137,"University of Lahore, Lahore",Punjab,Private,51.79%
138,"University of Malakand, Chakdara",KPK,Public,64.29%
139,"University of Management & Technology, Lahore",Punjab,Private,70.54%
140,"University of Narowal",Punjab,Public,51.79%
141,"University of Okara",Punjab,Public,45.54%
142,"University of Peshawar, Peshawar",KPK,Public,42.27%
143,"University of Poonch, Poonch",AJ&K,Public,34.38%
144,"University of Sahiwal",Punjab,Public,67.41%
145,"University of Sargodha, Sargodha",Punjab,Public,37.43%
146,"University of Sialkot",Punjab,Private,65.63%
147,"University of Sindh, Jamshoro",Sindh,Public,46.88%
148,"University of South Asia, Lahore",Punjab,Private,73.66%
149,"University of Sufism and Modern Sciences, Bhitshah Sindh",Sindh,Public,43.46%
150,"University of Turbat, Turbat",Balochistan,Public,26.34%
151,"University of Veterinary & Animal Sciences, Lahore",Punjab,Public,68.3%
152,"University of Wah, Rawalpindi",Punjab,Private,65.63%
153,"University of the Punjab, Lahore",Punjab,Public,50%
154,"Virtual University of Pakistan, Lahore",Punjab,Public,51.79%
155,"Women University Mardan, Mardan",KPK,Public,35.7%
156,"Women University of Azad Jammu & Kashmir, Bagh",AJ&K,Public,28.13%
157,"Women University, Swabi",KPK,Public,45.54%
158,"Zia-ud-din University,Karachi",Sindh,Private,58.04%
