,Subject,Year,Proportion
1256,SOCI,1961,0.0
1257,SOCI,1971,16.67
1258,SOCI,1966,16.67
1259,SOCI,1972,0.0
1260,SOCI,1973,0.0
1261,SOCI,1974,0.0
1262,SOCI,1978,20.0
1263,SOCI,1964,0.0
1264,SOCI,1981,0.0
1265,SOCI,1975,25.0
1266,SOCI,1965,0.0
1267,SOCI,1952,0.0
1268,SOCI,1970,0.0
1270,SOCI,1963,0.0
1271,SOCI,1955,0.0
1272,SOCI,1979,0.0
1273,SOCI,1977,0.0
1274,MULT,2020,14.61
1275,MULT,2019,11.35
1276,MULT,2013,12.74
1277,MULT,2007,10.34
1278,MULT,2018,14.39
1279,MULT,2008,10.45
1280,MULT,2016,12.11
1281,MULT,2017,13.0
1282,MULT,1996,8.75
1283,MULT,2014,9.69
1284,MULT,1997,10.87
1285,MULT,1993,7.14
1286,MULT,1998,11.5
1287,MULT,2001,9.24
1288,MULT,2006,8.65
1289,MULT,2011,12.34
1290,MULT,2003,12.93
1291,MULT,1960,0.0
1292,MULT,2015,11.76
1293,MULT,2010,8.97
1294,MULT,2012,12.57
1295,MULT,2005,10.34
1296,MULT,1987,9.09
1297,MULT,2000,7.89
1298,MULT,2004,11.76
1299,MULT,2002,12.71
1300,MULT,1965,0.0
1301,MULT,1994,15.79
1302,MULT,1989,7.69
1303,MULT,2009,9.03
1305,MULT,1982,0.0
1306,MULT,1999,13.71
1307,MULT,1991,9.09
1308,MULT,1990,12.5
1309,MULT,1988,16.67
1310,MULT,1977,20.0
1311,MULT,1995,18.75
1312,MULT,1962,0.0
1313,MULT,1973,0.0
1314,MULT,1953,
1316,MULT,1964,0.0
1317,MULT,1972,0.0
1319,MULT,1955,0.0
1320,MULT,1983,0.0
1324,MULT,1984,10.0
1325,MULT,1992,0.0
1327,MULT,1961,0.0
1328,MULT,1952,0.0
1330,MULT,1974,
1333,MULT,1968,25.0
1334,MULT,1954,0.0
1337,MULT,1966,0.0
1340,MULT,1985,0.0
1341,MULT,1969,0.0
1342,MULT,1971,
1344,MULT,1956,0.0
1346,MULT,1957,0.0
1348,MULT,1976,
1350,MULT,1975,
1351,MULT,1959,0.0
1352,MULT,1958,0.0
1353,MULT,1978,
1356,MULT,1967,0.0
1358,ECON,2020,14.97
1359,ECON,2016,16.48
1360,ECON,2015,14.55
1361,ECON,2018,11.0
1362,ECON,2012,12.99
1363,ECON,2014,10.85
1364,ECON,2010,8.08
1365,ECON,2009,11.86
1366,ECON,2019,12.46
1367,ECON,2017,10.7
1368,ECON,2011,10.97
1369,ECON,1995,0.0
1370,ECON,2013,14.83
1371,ECON,2002,0.0
1372,ECON,1969,25.0
1373,ECON,1989,18.18
1374,ECON,2008,9.52
1375,ECON,1997,13.33
1376,ECON,2005,5.26
1377,ECON,1985,0.0
1378,ECON,2000,22.22
1379,ECON,2004,18.18
1380,ECON,1990,0.0
1381,ECON,1983,11.11
1382,ECON,1996,9.09
1383,ECON,2006,0.0
1384,ECON,1963,0.0
1385,ECON,1994,0.0
1386,ECON,1998,20.0
1387,ECON,1993,0.0
1388,ECON,2003,10.0
1389,ECON,2007,11.76
1390,ECON,1982,50.0
1392,ECON,2021,50.0
1393,ECON,2001,33.33
1394,ECON,1992,8.33
1395,ECON,1999,0.0
1396,ECON,1966,0.0
1397,ECON,1988,50.0
1398,ECON,1981,25.0
1399,ECON,1970,0.0
1400,ECON,1987,0.0
1401,ECON,1991,0.0
1403,ECON,1984,0.0
1404,ECON,1986,0.0
1405,DECI,1999,0.0
1406,DECI,2010,11.84
1407,DECI,2012,4.05
1408,DECI,2014,14.93
1409,DECI,2017,10.17
1410,DECI,2015,10.34
1411,DECI,2018,10.11
1412,DECI,2008,18.75
1413,DECI,2013,8.41
1414,DECI,2016,13.1
1415,DECI,2020,7.69
1416,DECI,2011,6.78
1417,DECI,1996,0.0
1418,DECI,2007,0.0
1419,DECI,2019,9.47
1420,DECI,1993,25.0
1421,DECI,2009,9.52
1422,DECI,2005,28.57
1423,DECI,1987,0.0
1424,DECI,1995,0.0
1425,DECI,2000,0.0
1426,DECI,1994,0.0
1427,DECI,1982,50.0
1428,DECI,2004,0.0
1429,DECI,1969,25.0
1430,DECI,2001,50.0
1431,DECI,2003,33.33
1432,DECI,2002,50.0
1433,DECI,1997,0.0
1434,DECI,2006,37.5
1435,DECI,1972,0.0
1436,NURS,2020,8.7
1437,NURS,2018,11.76
1438,NURS,2015,10.27
1439,NURS,2012,8.18
1440,NURS,2011,7.21
1441,NURS,2013,8.59
1442,NURS,2010,17.05
1443,NURS,2019,12.53
1444,NURS,2016,10.76
1445,NURS,2009,11.65
1446,NURS,2014,10.05
1447,NURS,2017,13.06
1448,NURS,2008,14.77
1449,NURS,2002,40.0
1450,NURS,2001,10.0
1451,NURS,1997,0.0
1452,NURS,2007,33.33
1453,NURS,2004,33.33
1454,NURS,1999,0.0
1455,NURS,2005,0.0
1456,NURS,2006,28.57
1457,NURS,1992,0.0
1458,NURS,1998,0.0
1459,NURS,1990,0.0
1460,NURS,1996,0.0
1461,NURS,1995,0.0
1462,NURS,2003,
1463,HEAL,2019,13.97
1464,HEAL,2011,13.33
1465,HEAL,2020,15.15
1466,HEAL,2016,8.33
1467,HEAL,2018,11.29
1468,HEAL,1993,0.0
1469,HEAL,2015,8.11
1470,HEAL,2009,7.14
1471,HEAL,2014,12.0
1472,HEAL,2017,12.82
1473,HEAL,2008,3.51
1474,HEAL,2005,10.0
1475,HEAL,2012,4.17
1476,HEAL,2010,11.11
1477,HEAL,2004,0.0
1478,HEAL,1967,0.0
1479,HEAL,1994,
1480,HEAL,2013,13.33
1481,HEAL,2007,0.0
1482,HEAL,1991,0.0
1483,HEAL,1999,0.0
1484,HEAL,1968,25.0
1485,HEAL,1992,0.0
1486,HEAL,1957,50.0
1487,HEAL,2006,5.0
1488,HEAL,1990,0.0
1489,HEAL,1995,0.0
1490,HEAL,1997,25.0
1491,HEAL,1989,0.0
1492,HEAL,1978,33.33
1493,HEAL,1969,33.33
1494,HEAL,2000,0.0
1495,HEAL,1985,0.0
1496,HEAL,2003,33.33
1497,HEAL,1979,0.0
1498,HEAL,1980,0.0
1499,HEAL,2002,0.0
1500,HEAL,1998,0.0
1501,HEAL,2001,50.0
1502,HEAL,1996,0.0
1503,PSYC,2014,13.51
1504,PSYC,2019,15.42
1505,PSYC,2015,15.22
1506,PSYC,2016,17.0
1507,PSYC,2020,15.98
1508,PSYC,2013,10.0
1509,PSYC,2018,10.56
1510,PSYC,2017,7.96
1511,PSYC,2010,8.06
1512,PSYC,2011,9.23
1513,PSYC,2006,0.0
1514,PSYC,1966,0.0
1515,PSYC,2003,14.29
1516,PSYC,2002,0.0
1517,PSYC,1998,25.0
1518,PSYC,1985,0.0
1519,PSYC,2012,13.33
1520,PSYC,1984,0.0
1521,PSYC,1982,0.0
1522,PSYC,1991,0.0
1523,PSYC,1960,
1524,PSYC,2009,36.36
1525,PSYC,2007,0.0
1526,PSYC,2001,40.0
1527,PSYC,1972,0.0
1528,PSYC,1995,0.0
1529,PSYC,1994,0.0
1530,PSYC,1967,0.0
1532,PSYC,2004,0.0
1533,PSYC,1958,50.0
1534,PSYC,1968,0.0
1535,PSYC,2005,0.0
1536,PSYC,1997,0.0
1537,PSYC,1999,0.0
1538,PSYC,1964,0.0
1539,PSYC,2008,0.0
1540,PSYC,1959,0.0
1541,undefined,1993,18.52
1542,undefined,2018,0.0
1543,undefined,1990,0.0
1544,undefined,1988,9.68
1545,undefined,1974,0.0
1546,undefined,1991,20.31
1547,undefined,1967,0.0
1548,undefined,1966,0.0
1549,undefined,2020,0.0
1550,undefined,1972,33.33
1551,undefined,1957,0.0
1552,undefined,1979,0.0
1553,undefined,1973,0.0
1554,undefined,1986,4.55
1555,undefined,1968,0.0
1556,undefined,1969,16.67
1557,undefined,1962,0.0
1558,undefined,1992,0.0
1559,undefined,1975,0.0
1560,undefined,1976,50.0
1561,undefined,1964,0.0
1562,undefined,1987,0.0
1563,undefined,1970,0.0
1564,undefined,2019,100.0
1565,undefined,1961,50.0
1566,undefined,2017,0.0
1567,undefined,1978,0.0
1568,undefined,1963,0.0
1569,NEUR,2018,15.69
1570,NEUR,2016,6.06
1571,NEUR,2014,7.41
1572,NEUR,2020,16.22
1573,NEUR,2015,10.53
1574,NEUR,2005,9.09
1575,NEUR,2006,42.86
1576,NEUR,2019,5.41
1577,NEUR,2012,23.53
1578,NEUR,2010,0.0
1579,NEUR,2017,14.71
1580,NEUR,1988,0.0
1581,NEUR,1999,
1582,NEUR,2004,0.0
1583,NEUR,2003,0.0
1584,NEUR,2011,7.69
1585,NEUR,2013,11.76
1586,NEUR,1996,0.0
1587,NEUR,2000,50.0
1588,NEUR,2002,15.38
1589,NEUR,2007,11.11
1590,NEUR,2008,40.0
1591,NEUR,1998,66.67
1592,NEUR,1994,0.0
1593,NEUR,1997,0.0
1594,NEUR,1980,
1595,NEUR,1995,0.0
1596,NEUR,1993,0.0
1597,NEUR,1979,50.0
