,Subject,Male (1),female1 (1),Proportion1 (1),Male (2),female (2),Proportion (2),Male (3),female (3),Proportion (3)
0,MEDI,275,58,17.417417417417415,12,4,25.0,3,1,25.0
1,CHEM,57,17,22.972972972972975,12,1,7.6923076923076925,1,0,0.0
2,BIOC,115,16,12.213740458015266,17,2,10.526315789473683,1,0,0.0
3,EART,18,2,10.0,2,1,33.33333333333333,0,0,
4,AGRI,184,31,14.418604651162791,14,6,30.0,0,0,
5,PHYS,64,23,26.436781609195403,19,3,13.636363636363635,3,1,25.0
6,MATH,31,6,16.216216216216218,2,1,33.33333333333333,3,0,0.0
7,CENG,16,6,27.27272727272727,2,0,0.0,1,0,0.0
8,ENGI,47,5,9.615384615384617,8,2,20.0,1,0,0.0
9,undefined,6,3,33.33333333333333,2,0,0.0,0,0,
10,MATE,8,3,27.27272727272727,1,0,0.0,0,0,
11,ENER,12,7,36.84210526315789,1,1,50.0,2,0,0.0
12,PHAR,3,3,50.0,0,0,,0,0,
13,IMMU,16,2,11.11111111111111,2,0,0.0,0,0,
14,MULT,5,0,0.0,0,1,100.0,1,0,0.0
15,ARTS,7,4,36.36363636363637,3,0,0.0,0,0,
16,SOCI,11,4,26.666666666666668,1,0,0.0,0,0,
17,VETE,1,0,0.0,0,0,,0,0,
18,ENVI,4,0,0.0,0,0,,0,0,
19,PSYC,1,0,0.0,0,0,,0,1,100.0
20,HEAL,1,1,50.0,1,0,0.0,0,0,
21,COMP,3,0,0.0,0,0,,0,0,
22,BUSI,0,0,,0,0,,0,0,
23,DENT,1,0,0.0,0,0,,0,0,
24,DECI,1,0,0.0,0,0,,0,0,
25,NEUR,0,1,100.0,0,0,,0,0,
