,Subject,Male (1),female1 (1),Proportion1 (1),Male (2),female (2),Proportion (2),Male (3),female (3),Proportion (3)
0,ENER,21,6,22.22222222222222,1,0,0.0,0,0,
1,MEDI,348,92,20.909090909090907,23,5,17.857142857142858,10,3,23.076923076923077
2,BIOC,156,26,14.285714285714285,23,4,14.814814814814813,3,1,25.0
3,MATE,64,4,5.88235294117647,12,1,7.6923076923076925,1,2,66.66666666666666
4,ENVI,27,4,12.903225806451612,4,1,20.0,1,0,0.0
5,CHEM,131,36,21.55688622754491,16,3,15.789473684210526,0,0,
6,PHYS,120,34,22.07792207792208,32,6,15.789473684210526,7,0,0.0
7,AGRI,286,58,16.86046511627907,32,13,28.888888888888886,9,1,10.0
8,CENG,28,6,17.647058823529413,4,0,0.0,1,0,0.0
9,MATH,39,8,17.02127659574468,9,1,10.0,2,1,33.33333333333333
10,ARTS,22,3,12.0,3,0,0.0,0,0,
11,ENGI,124,39,23.92638036809816,21,4,16.0,4,1,20.0
12,PHAR,43,14,24.561403508771928,1,0,0.0,0,0,
13,EART,122,27,18.120805369127517,11,3,21.428571428571427,0,0,
14,undefined,28,5,15.151515151515152,18,1,5.263157894736842,6,1,14.285714285714285
15,MULT,45,12,21.052631578947366,3,0,0.0,0,0,
16,SOCI,50,10,16.666666666666664,2,1,33.33333333333333,0,0,
17,IMMU,26,5,16.129032258064516,4,1,20.0,2,0,0.0
18,ECON,14,7,33.33333333333333,3,0,0.0,0,0,
19,BUSI,7,0,0.0,1,0,0.0,0,0,
20,COMP,10,2,16.666666666666664,0,0,,0,0,
21,NEUR,1,0,0.0,0,0,,0,0,
22,PSYC,2,0,0.0,1,0,0.0,0,0,
23,DECI,1,1,50.0,0,0,,0,0,
24,VETE,4,0,0.0,0,0,,0,0,
25,HEAL,2,0,0.0,0,0,,0,0,
