,Subject,Male (1),female1 (1),Proportion1 (1),Male (2),female (2),Proportion (2),Male (3),female (3),Proportion (3)
0,SOCI,4,0,0.0,0,0,,0,0,
1,ARTS,5,3,37.5,0,0,,0,0,
2,AGRI,37,11,22.916666666666664,3,0,0.0,0,0,
3,MATH,3,0,0.0,1,0,0.0,0,0,
4,MEDI,17,4,19.047619047619047,0,0,,0,0,
5,PHYS,8,4,33.33333333333333,5,0,0.0,0,0,
6,CHEM,12,3,20.0,0,0,,0,0,
7,IMMU,5,0,0.0,0,0,,0,0,
8,ENER,1,1,50.0,0,0,,0,0,
9,undefined,1,0,0.0,0,0,,0,0,
10,EART,6,0,0.0,1,0,0.0,0,0,
11,PHAR,4,1,20.0,0,0,,0,0,
12,MULT,13,0,0.0,0,0,,0,0,
13,BIOC,7,1,12.5,0,0,,0,0,
14,HEAL,0,1,100.0,0,0,,0,0,
15,COMP,1,0,0.0,0,0,,0,0,
16,PSYC,1,1,50.0,0,0,,0,0,
17,ENGI,1,0,0.0,0,0,,0,0,
