,Subject,# of papers,2020Male (1),2020female1 (1),2020Proportion1 (1),2020Male (2),2020female (2),2020Proportion (2),2020Male (3),2020female (3),2020Proportion (3)
0,CENG,17,3,0,0.0,26,6,0.1,13,3,18.75
1,AGRI,25,15,0,0.0,37,9,0.1,18,7,28.0
2,MATE,2,2,0,0.0,3,1,0.13,2,0,0.0
3,PHYS,2,2,0,0.0,4,0,0.0,2,0,0.0
4,COMP,48,29,10,25.64,61,12,0.09,40,8,16.67
5,ENGI,26,11,3,21.43,39,7,0.08,22,3,12.0
6,CHEM,23,12,1,7.69,47,10,0.09,20,3,13.04
7,BUSI,10,4,3,42.86,17,3,0.08,8,2,20.0
8,PHAR,1,0,0,,2,0,0.0,1,0,0.0
9,ENVI,18,9,0,0.0,26,4,0.07,14,3,17.65
10,MATH,10,5,2,28.57,12,5,0.16,7,3,30.0
11,ENER,10,3,0,0.0,13,7,0.19,6,4,40.0
12,ECON,3,0,1,100.0,4,2,0.18,2,1,33.33
13,EART,3,3,0,0.0,2,3,0.32,1,2,66.67
14,BIOC,2,0,0,,2,1,0.18,2,0,0.0
15,MEDI,2,0,0,,1,1,0.26,1,1,50.0
