,Subject,Male (1),female1 (1),Proportion1 (1),Male (2),female (2),Proportion (2),Male (3),female (3),Proportion (3)
0,AGRI,762,173,18.502673796791445,212,53,20.0,44,5,10.204081632653061
1,ENER,56,12,17.647058823529413,20,0,0.0,2,0,0.0
2,PHAR,121,20,14.184397163120568,25,6,19.35483870967742,8,4,33.33333333333333
3,ENVI,105,23,17.96875,27,10,27.027027027027028,6,2,25.0
4,MEDI,1612,358,18.17258883248731,251,58,18.77022653721683,82,18,18.0
5,CHEM,463,86,15.664845173041893,145,28,16.184971098265898,13,4,23.52941176470588
6,IMMU,70,9,11.39240506329114,24,4,14.285714285714285,17,1,5.555555555555555
7,PHYS,223,45,16.791044776119403,72,5,6.493506493506493,10,4,28.57142857142857
8,CENG,120,25,17.24137931034483,29,5,14.705882352941178,4,1,20.0
9,DECI,7,1,12.5,3,0,0.0,1,0,0.0
10,EART,82,28,25.454545454545453,18,3,14.285714285714285,8,5,38.46153846153847
11,ENGI,250,53,17.491749174917494,50,7,12.280701754385964,9,3,25.0
12,SOCI,138,34,19.767441860465116,12,3,20.0,1,0,0.0
13,MATE,66,13,16.455696202531644,19,1,5.0,1,0,0.0
14,COMP,74,10,11.904761904761903,14,3,17.647058823529413,4,1,20.0
15,BIOC,338,92,21.3953488372093,98,22,18.333333333333332,14,6,30.0
16,MULT,156,40,20.408163265306122,35,7,16.666666666666664,5,0,0.0
17,undefined,24,10,29.411764705882355,17,7,29.166666666666668,4,1,20.0
18,HEAL,15,1,6.25,2,0,0.0,0,0,
19,MATH,84,17,16.831683168316832,31,4,11.428571428571429,4,1,20.0
20,ECON,25,4,13.793103448275861,10,1,9.090909090909092,2,0,0.0
21,BUSI,22,3,12.0,5,0,0.0,1,0,0.0
22,VETE,31,7,18.421052631578945,18,2,10.0,4,1,20.0
23,ARTS,41,16,28.07017543859649,5,2,28.57142857142857,1,0,0.0
24,NEUR,7,1,12.5,3,1,25.0,1,0,0.0
25,DENT,7,1,12.5,1,1,50.0,1,1,50.0
26,PSYC,8,1,11.11111111111111,2,0,0.0,0,0,
27,NURS,9,0,0.0,2,0,0.0,1,1,50.0
